Type d'erreur,Message,Fichier,Ligne,Colonne,Sévérité
undefined_named_parameter,"The named parameter 'focusTheme' isn't defined.",lib/core/theme/app_theme.dart,267,6,1
undefined_method,"The method 'FocusThemeData' isn't defined for the type 'AppTheme'.",lib/core/theme/app_theme.dart,267,18,1
undefined_identifier,"Undefined name 'SemanticsService'.",lib/core/services/accessibility_service.dart,161,4,1
undefined_method,"The method '_makeRequest' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1241,27,1
undefined_method,"The method '_handleResponse' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1248,11,1
undefined_method,"The method '_makeRequest' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1270,27,1
undefined_method,"The method '_handleResponse' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1274,11,1
undefined_method,"The method '_makeRequest' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1295,27,1
undefined_method,"The method '_handleResponse' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1303,11,1
undefined_method,"The method '_makeRequest' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1322,27,1
undefined_method,"The method '_handleResponse' isn't defined for the type 'MatchingServiceApi'.",lib/core/services/api_service.dart,1326,11,1
duplicate_definition,"The name 'cancelAll' is already defined.",lib/core/services/local_notification_service.dart,381,15,1
argument_type_not_assignable,"The argument type 'Object' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/core/widgets/modern_cards.dart,36,19,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/core/widgets/modern_cards.dart,88,19,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/core/widgets/modern_cards.dart,206,29,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})?' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/core/widgets/modern_cards.dart,324,21,1
undefined_method,"The method 'submitReport' isn't defined for the type 'ApiService'.",lib/features/matching/providers/report_provider.dart,31,40,1
undefined_method,"The method 'getMyReports' isn't defined for the type 'ApiService'.",lib/features/matching/providers/report_provider.dart,68,40,1
undefined_method,"The method 'getHistory' isn't defined for the type 'ApiService'.",lib/features/matching/providers/matching_provider.dart,367,40,1
undefined_method,"The method 'DelayedAnimationWidget' isn't defined for the type '_HistoryPageState'.",lib/features/matching/pages/history_page.dart,261,19,1
undefined_method,"The method 'ModernCard' isn't defined for the type '_HistoryPageState'.",lib/features/matching/pages/history_page.dart,272,11,1
undefined_getter,"The getter 'backgroundDark' isn't defined for the type 'AppColors'.",lib/features/matching/pages/who_liked_me_page.dart,66,33,1
