Type,Message,Fichier,Ligne,Colonne,Code_Erreur
error,The name 'updateProfileStatus' is already defined,lib\core\services\api_service.dart,394,39,duplicate_definition
error,The named parameter 'androidScheduleMode' is required but there's no corresponding argument,lib\core\services\local_notification_service.dart,91,26,missing_required_argument
error,The named parameter 'uiLocalNotificationDateInterpretation' isn't defined,lib\core\services\local_notification_service.dart,97,7,undefined_named_parameter
error,Undefined name 'UILocalNotificationDateInterpretation',lib\core\services\local_notification_service.dart,97,46,undefined_identifier
error,Const variables must be initialized with a constant value,lib\core\services\local_notification_service.dart,358,16,const_initialized_with_non_constant_value
error,Invalid constant value,lib\core\services\local_notification_service.dart,358,16,invalid_constant
error,The setter 'observerMode' isn't defined for the type 'PurchasesConfiguration',lib\core\services\revenue_cat_service.dart,19,13,undefined_setter
error,A value of type 'String?' can't be returned from the method 'getExpirationDate' because it has a return type of 'DateTime?',lib\core\services\revenue_cat_service.dart,149,12,return_of_invalid_type
error,The name 'textLight' is already defined,lib\core\theme\app_theme.dart,40,22,duplicate_definition
error,The getter 'age' isn't defined for the type 'User',lib\features\admin\pages\admin_users_page.dart,278,55,undefined_getter
error,The getter 'bio' isn't defined for the type 'User',lib\features\admin\pages\admin_users_page.dart,279,24,undefined_getter
error,The getter 'bio' isn't defined for the type 'User',lib\features\admin\pages\admin_users_page.dart,280,54,undefined_getter
error,The argument type 'DateTime?' can't be assigned to the parameter type 'DateTime',lib\features\admin\pages\admin_users_page.dart,281,63,argument_type_not_assignable
error,The getter 'lastActive' isn't defined for the type 'User',lib\features\admin\pages\admin_users_page.dart,282,24,undefined_getter
error,The getter 'lastActive' isn't defined for the type 'User',lib\features\admin\pages\admin_users_page.dart,283,80,undefined_getter
error,The getter 'profilePicture' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,35,39,undefined_getter
error,The getter 'profilePicture' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,36,41,undefined_getter
error,The getter 'profilePicture' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,38,29,undefined_getter
error,The method 'substring' can't be unconditionally invoked because the receiver can be 'null',lib\features\admin\widgets\user_list_item.dart,40,43,unchecked_use_of_nullable_value
error,The method 'substring' can't be unconditionally invoked because the receiver can be 'null',lib\features\admin\widgets\user_list_item.dart,40,75,unchecked_use_of_nullable_value
error,The getter 'age' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,81,35,undefined_getter
error,The getter 'lastActive' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,87,34,undefined_getter
error,The getter 'lastActive' isn't defined for the type 'User',lib\features\admin\widgets\user_list_item.dart,95,53,undefined_getter
error,The name 'GenderSelectionPage' isn't a class,lib\features\auth\pages\email_auth_page.dart,293,47,creation_with_non_type
error,The class 'GoogleSignIn' doesn't have an unnamed constructor,lib\features\auth\providers\auth_provider.dart,81,41,new_with_undefined_constructor_default
error,The method 'signIn' isn't defined for the type 'GoogleSignIn',lib\features\auth\providers\auth_provider.dart,89,66,undefined_method
error,The method '_setUnauthenticated' isn't defined for the type 'AuthProvider',lib\features\auth\providers\auth_provider.dart,93,9,undefined_method
error,The getter 'accessToken' isn't defined for the type 'GoogleSignInAuthentication',lib\features\auth\providers\auth_provider.dart,100,22,undefined_getter
error,The argument type 'String?' can't be assigned to the parameter type 'String',lib\features\auth\providers\auth_provider.dart,149,19,argument_type_not_assignable
error,The method '_getSampleChats' isn't defined for the type '_ChatListPageState',lib\features\chat\pages\chat_list_page.dart,130,45,undefined_method
error,Undefined class 'Conversation',lib\features\chat\pages\chat_list_page.dart,220,33,undefined_class
error,Undefined class 'Conversation',lib\features\chat\pages\chat_list_page.dart,359,31,undefined_class
error,Undefined class 'Conversation',lib\features\chat\pages\chat_list_page.dart,504,26,undefined_class
error,The named parameter 'columns' isn't defined,lib\features\chat\pages\chat_page.dart,420,17,undefined_named_parameter
error,The named parameter 'emojiSizeMax' isn't defined,lib\features\chat\pages\chat_page.dart,421,17,undefined_named_parameter
error,The named parameter 'verticalSpacing' isn't defined,lib\features\chat\pages\chat_page.dart,422,17,undefined_named_parameter
error,The named parameter 'horizontalSpacing' isn't defined,lib\features\chat\pages\chat_page.dart,423,17,undefined_named_parameter
error,The named parameter 'gridPadding' isn't defined,lib\features\chat\pages\chat_page.dart,424,17,undefined_named_parameter
error,The named parameter 'initCategory' isn't defined,lib\features\chat\pages\chat_page.dart,425,17,undefined_named_parameter
error,The named parameter 'bgColor' isn't defined,lib\features\chat\pages\chat_page.dart,426,17,undefined_named_parameter
error,The named parameter 'indicatorColor' isn't defined,lib\features\chat\pages\chat_page.dart,427,17,undefined_named_parameter
error,The named parameter 'iconColor' isn't defined,lib\features\chat\pages\chat_page.dart,428,17,undefined_named_parameter
